,subject,region,value,session,unimodal,region_category
0,sub-1,0,0.1465580298774512,0,1,unimodal
1,sub-1,0,0.9184468552157528,1,1,unimodal
2,sub-1,3,0.0931326543034494,0,1,unimodal
3,sub-1,3,0.3963458036453534,1,1,unimodal
4,sub-1,4,0.4638856349854308,0,1,unimodal
5,sub-1,4,0.6816986138967723,1,1,unimodal
6,sub-1,5,0.2952460181638847,0,1,unimodal
7,sub-1,5,0.8432713423421943,1,1,unimodal
8,sub-1,6,0.5118743903916799,0,1,unimodal
9,sub-1,6,0.5374755670394403,1,1,unimodal
10,sub-1,8,0.3329892151034002,0,1,unimodal
11,sub-1,8,0.4607131133274139,1,1,unimodal
12,sub-1,10,0.0815235462288782,0,0,transmodal
13,sub-1,10,0.0796519910467217,1,0,transmodal
14,sub-1,13,0.3151877529895943,0,0,transmodal
15,sub-1,13,0.890265775610399,1,0,transmodal
16,sub-1,14,0.402220818148391,0,0,transmodal
17,sub-1,14,0.0292538943674761,1,0,transmodal
18,sub-1,15,0.1543679084692754,0,1,unimodal
19,sub-1,15,0.4378095259779517,1,1,unimodal
20,sub-1,16,0.0851160093776349,0,1,unimodal
21,sub-1,16,0.3667185508046361,1,1,unimodal
22,sub-1,17,0.2026438019137861,0,1,unimodal
23,sub-1,17,0.3263520920022139,1,1,unimodal
24,sub-1,18,0.0857758231309769,0,1,unimodal
25,sub-1,18,0.0906104714251253,1,1,unimodal
26,sub-1,19,0.0859802371966525,0,1,unimodal
27,sub-1,19,0.0804800112063,1,1,unimodal
28,sub-1,23,0.0772319751078622,0,1,unimodal
29,sub-1,23,0.0811197789985243,1,1,unimodal
30,sub-1,24,0.1012252660644657,0,0,transmodal
31,sub-1,24,0.0859292204026892,1,0,transmodal
32,sub-1,26,0.0813719609400395,0,0,transmodal
33,sub-1,26,0.0845727453739886,1,0,transmodal
34,sub-1,28,0.0863897338727241,0,0,transmodal
35,sub-1,28,0.5338800628004241,1,0,transmodal
36,sub-1,29,0.6239609504979486,0,0,transmodal
37,sub-1,29,0.9289095025453856,1,0,transmodal
38,sub-1,30,0.4330254353610581,0,0,transmodal
39,sub-1,30,0.901722350427431,1,0,transmodal
40,sub-1,32,0.8172887459473813,0,0,transmodal
41,sub-1,32,0.6449714225504014,1,0,transmodal
42,sub-1,33,0.6702471056046025,0,0,transmodal
43,sub-1,33,1.1134252992966978,1,0,transmodal
44,sub-1,34,0.7611731715508894,0,0,transmodal
45,sub-1,34,0.7058978402266883,1,0,transmodal
46,sub-1,36,0.0868462343671601,0,0,transmodal
47,sub-1,36,0.0460174799656707,1,0,transmodal
48,sub-1,37,0.1113450200094886,0,0,transmodal
49,sub-1,37,0.0797523251199744,1,0,transmodal
50,sub-1,40,0.0786893512112342,0,1,unimodal
51,sub-1,40,0.0799345068189411,1,1,unimodal
52,sub-1,41,0.7473478199663652,0,1,unimodal
53,sub-1,41,0.0826983811804108,1,1,unimodal
54,sub-1,43,0.1894267742733926,0,0,transmodal
55,sub-1,43,0.0869477380981087,1,0,transmodal
56,sub-1,46,0.215700107125571,0,1,unimodal
57,sub-1,46,0.0803342728426799,1,1,unimodal
58,sub-1,47,0.3636385249229939,0,1,unimodal
59,sub-1,47,0.2119009661267539,1,1,unimodal
60,sub-1,53,0.3391221224980746,0,1,unimodal
61,sub-1,53,0.0793459516676327,1,1,unimodal
62,sub-1,56,0.0793337474642923,0,0,transmodal
63,sub-1,56,0.0790232486262742,1,0,transmodal
64,sub-1,58,0.2995850250877689,0,0,transmodal
65,sub-1,58,0.0835522613678239,1,0,transmodal
66,sub-1,61,0.0836930432185842,0,0,transmodal
67,sub-1,61,0.078784635978919,1,0,transmodal
68,sub-1,62,0.0825088589700518,0,0,transmodal
69,sub-1,62,0.1529535318767066,1,0,transmodal
70,sub-1,64,0.0911333606442483,0,0,transmodal
71,sub-1,64,0.0829611727754487,1,0,transmodal
72,sub-1,67,0.084804698058933,0,0,transmodal
73,sub-1,67,0.2531386047257301,1,0,transmodal
74,sub-1,68,0.2330039028148882,0,0,transmodal
75,sub-1,68,0.258416326408567,1,0,transmodal
76,sub-1,70,0.2759558785623403,0,0,transmodal
77,sub-1,70,0.7520148048557248,1,0,transmodal
78,sub-1,71,0.3203975565736927,0,0,transmodal
79,sub-1,71,1.1183558398179128,1,0,transmodal
80,sub-1,77,0.0909560090913448,0,0,transmodal
81,sub-1,77,0.0818036797157413,1,0,transmodal
82,sub-1,83,0.091292941705045,0,0,transmodal
83,sub-1,83,0.105341748761047,1,0,transmodal
84,sub-1,84,0.1048404628714663,0,0,transmodal
85,sub-1,84,0.8939040474291751,1,0,transmodal
86,sub-1,86,0.5656518771430036,0,0,transmodal
87,sub-1,86,0.5813313771506174,1,0,transmodal
88,sub-1,89,0.0837918382993454,0,0,transmodal
89,sub-1,89,0.0782342306136999,1,0,transmodal
90,sub-1,91,0.0838041382885956,0,0,transmodal
91,sub-1,91,0.088049255415442,1,0,transmodal
92,sub-1,93,0.1471327649809451,0,0,transmodal
93,sub-1,93,0.0802267635283803,1,0,transmodal
94,sub-1,97,0.0858486986409812,0,0,transmodal
95,sub-1,97,0.0808561180175736,1,0,transmodal
96,sub-1,99,0.0820400900831232,0,1,unimodal
97,sub-1,99,0.0825661248947865,1,1,unimodal
98,sub-1,103,0.0798461641283145,0,1,unimodal
99,sub-1,103,0.0786271875322021,1,1,unimodal
100,sub-1,104,0.0826627854252329,0,0,transmodal
101,sub-1,104,0.0780448851816843,1,0,transmodal
102,sub-1,105,0.0816538641417085,0,0,transmodal
103,sub-1,105,0.0796523292317445,1,0,transmodal
104,sub-1,108,0.0868511647834708,0,0,transmodal
105,sub-1,108,0.0515814027890163,1,0,transmodal
106,sub-1,110,0.0805418645393607,0,0,transmodal
107,sub-1,110,0.0810257876934322,1,0,transmodal
108,sub-1,117,0.0793722928986925,0,0,transmodal
109,sub-1,117,0.0799351831730234,1,0,transmodal
110,sub-1,118,0.079809070567278,0,0,transmodal
111,sub-1,118,0.0793486411407983,1,0,transmodal
112,sub-1,119,0.0798098166770036,0,0,transmodal
113,sub-1,119,0.0533113591072641,1,0,transmodal
114,sub-1,120,0.0905050172989236,0,1,unimodal
115,sub-1,120,0.0811906193324565,1,1,unimodal
116,sub-1,121,0.4436002811184336,0,0,transmodal
117,sub-1,121,0.0844639596155055,1,0,transmodal
118,sub-1,122,0.0807674324636088,0,0,transmodal
119,sub-1,122,0.0835409610262901,1,0,transmodal
120,sub-1,126,0.0378767352773723,0,0,transmodal
121,sub-1,126,0.0825612865640377,1,0,transmodal
122,sub-1,129,0.0863862317533972,0,0,transmodal
123,sub-1,129,0.0551818531826833,1,0,transmodal
124,sub-1,131,0.1601577518678724,0,0,transmodal
125,sub-1,131,0.1830500166592007,1,0,transmodal
126,sub-1,133,0.0802172232691127,0,0,transmodal
127,sub-1,133,0.4517535203258338,1,0,transmodal
128,sub-1,135,0.0853256960180579,0,0,transmodal
129,sub-1,135,0.0955315046900952,1,0,transmodal
130,sub-1,136,0.3006189204802,0,0,transmodal
131,sub-1,136,0.0844273119276507,1,0,transmodal
132,sub-1,138,0.100925165272466,0,0,transmodal
133,sub-1,138,0.0267303329821469,1,0,transmodal
134,sub-1,140,0.1145697774626586,0,0,transmodal
135,sub-1,140,0.8924581108968026,1,0,transmodal
136,sub-1,141,0.0939685870891521,0,1,unimodal
137,sub-1,141,0.084193515639463,1,1,unimodal
138,sub-1,142,0.3108129645703688,0,0,transmodal
139,sub-1,142,0.896697854342777,1,0,transmodal
140,sub-1,144,0.2757491443768899,0,0,transmodal
141,sub-1,144,0.7880411752740544,1,0,transmodal
142,sub-1,148,0.447884201153553,0,0,transmodal
143,sub-1,148,0.4079458035196735,1,0,transmodal
144,sub-1,149,1.1125045074734836,0,0,transmodal
145,sub-1,149,0.8143424656474508,1,0,transmodal
146,sub-1,150,0.600051730633567,0,0,transmodal
147,sub-1,150,1.06811501084364,1,0,transmodal
148,sub-1,151,0.3140208286914691,0,1,unimodal
149,sub-1,151,0.3337943716636342,1,1,unimodal
150,sub-1,152,0.0811783294086818,0,1,unimodal
151,sub-1,152,0.0793246704765016,1,1,unimodal
152,sub-1,153,0.0835586797160337,0,1,unimodal
153,sub-1,153,0.0886699659562797,1,1,unimodal
154,sub-1,154,0.0855865372671682,0,0,transmodal
155,sub-1,154,0.0308208759490625,1,0,transmodal
156,sub-1,155,0.182461051562785,0,1,unimodal
157,sub-1,155,0.0264187766708757,1,1,unimodal
158,sub-1,156,0.454322868570039,0,1,unimodal
159,sub-1,156,0.081396255121005,1,1,unimodal
160,sub-1,158,0.0785130087576053,0,1,unimodal
161,sub-1,158,0.0803829459734428,1,1,unimodal
162,sub-1,160,1.0142547436589855,0,0,transmodal
163,sub-1,160,1.0100403997054577,1,0,transmodal
164,sub-1,161,0.0924595196209386,0,0,transmodal
165,sub-1,161,0.5852451296698498,1,0,transmodal
166,sub-1,163,0.0874758924087479,0,0,transmodal
167,sub-1,163,0.0809648864044882,1,0,transmodal
168,sub-1,166,0.0839631996511116,0,0,transmodal
169,sub-1,166,0.0805542617462596,1,0,transmodal
170,sub-1,167,0.0821689755246248,0,1,unimodal
171,sub-1,167,0.0802583345475292,1,1,unimodal
172,sub-1,168,0.0796090747496022,0,0,transmodal
173,sub-1,168,0.0815910142948284,1,0,transmodal
174,sub-1,170,0.3775684341708148,0,0,transmodal
175,sub-1,170,0.8302070165517151,1,0,transmodal
176,sub-1,171,0.0808613435935127,0,0,transmodal
177,sub-1,171,0.0799625358508375,1,0,transmodal
178,sub-1,173,0.0821910214138673,0,1,unimodal
179,sub-1,173,0.0147534614944179,1,1,unimodal
180,sub-1,177,0.0800660957463079,0,0,transmodal
181,sub-1,177,0.0835898111968924,1,0,transmodal
182,sub-1,178,0.0978216016023355,0,0,transmodal
183,sub-1,178,0.081574663938776,1,0,transmodal
184,sub-1,179,0.0821397904539115,0,0,transmodal
185,sub-1,179,0.0805588905254282,1,0,transmodal
186,sub-1,180,0.102320313219802,0,1,unimodal
187,sub-1,180,0.7122367621264905,1,1,unimodal
188,sub-1,181,0.4164398095349371,0,1,unimodal
189,sub-1,181,0.0810640320404605,1,1,unimodal
190,sub-1,182,0.2154473871371939,0,1,unimodal
191,sub-1,182,0.0812177076916539,1,1,unimodal
192,sub-1,184,0.0158908651747183,0,1,unimodal
193,sub-1,184,0.6196606649774529,1,1,unimodal
194,sub-1,185,0.4128016896806167,0,1,unimodal
195,sub-1,185,0.4691311769329991,1,1,unimodal
196,sub-1,190,0.0938624000757311,0,0,transmodal
197,sub-1,190,0.0862699039115601,1,0,transmodal
198,sub-1,191,0.2922975518999419,0,0,transmodal
199,sub-1,191,0.316771509571275,1,0,transmodal
200,sub-1,192,0.563882885751299,0,1,unimodal
201,sub-1,192,0.0219179305001937,1,1,unimodal
202,sub-1,193,0.1093381174525267,0,0,transmodal
203,sub-1,193,0.8857003914028879,1,0,transmodal
204,sub-1,196,0.2929554984021374,0,1,unimodal
205,sub-1,196,0.0950751154082963,1,1,unimodal
206,sub-1,200,0.1179410328826361,0,1,unimodal
207,sub-1,200,0.0853802280997145,1,1,unimodal
208,sub-1,203,0.07848851255249,0,1,unimodal
209,sub-1,203,0.0790686459314074,1,1,unimodal
210,sub-1,204,0.2410493411011055,0,0,transmodal
211,sub-1,204,0.1122774275987344,1,0,transmodal
212,sub-1,205,0.4057652050875867,0,0,transmodal
213,sub-1,205,0.0849360676535763,1,0,transmodal
214,sub-1,206,0.085964504016367,0,0,transmodal
215,sub-1,206,0.0916729247363297,1,0,transmodal
216,sub-1,207,0.5793066724511432,0,0,transmodal
217,sub-1,207,0.2559004298639883,1,0,transmodal
218,sub-1,209,0.7501743024979919,0,0,transmodal
219,sub-1,209,0.8081271201674386,1,0,transmodal
220,sub-1,210,0.4098240241782946,0,0,transmodal
221,sub-1,210,0.5104681361004534,1,0,transmodal
222,sub-1,212,0.7034708226161396,0,0,transmodal
223,sub-1,212,0.8877856370198206,1,0,transmodal
224,sub-1,213,0.1010090242152626,0,0,transmodal
225,sub-1,213,0.0318779280606322,1,0,transmodal
226,sub-1,214,0.1005910046337927,0,0,transmodal
227,sub-1,214,0.9060694674244004,1,0,transmodal
228,sub-1,216,0.0798342185980873,0,0,transmodal
229,sub-1,216,0.095328991228021,1,0,transmodal
230,sub-1,217,0.0808740924915227,0,0,transmodal
231,sub-1,217,0.0804220711163072,1,0,transmodal
232,sub-1,218,0.0835420633477623,0,1,unimodal
233,sub-1,218,0.0829790147895869,1,1,unimodal
234,sub-1,220,0.0790773787302325,0,1,unimodal
235,sub-1,220,0.0796531833284908,1,1,unimodal
236,sub-1,224,0.4243463524187317,0,0,transmodal
237,sub-1,224,0.0865658569444864,1,0,transmodal
238,sub-1,229,0.2627259319394093,0,0,transmodal
239,sub-1,229,0.5966355327792636,1,0,transmodal
240,sub-1,234,0.0929781805554036,0,1,unimodal
241,sub-1,234,0.0343582353557675,1,1,unimodal
242,sub-1,236,0.0800008969252073,0,0,transmodal
243,sub-1,236,0.080573797337853,1,0,transmodal
244,sub-1,238,0.0813165698268482,0,0,transmodal
245,sub-1,238,0.0824940379029896,1,0,transmodal
246,sub-1,239,0.0793159955680582,0,0,transmodal
247,sub-1,239,0.0810210540109366,1,0,transmodal
